Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.08645193650973
272.5GHz,-180,1deg,1.88322157002753
272.5GHz,-180,2deg,1.44357535843033
272.5GHz,-180,3deg,0.793194410517157
272.5GHz,-180,4deg,-0.0355160297304424
272.5GHz,-180,5deg,-1.01390893828648
272.5GHz,-180,6deg,-2.12752583626938
272.5GHz,-180,7deg,-3.38489656012723
272.5GHz,-180,8deg,-4.825968202988
272.5GHz,-180,9deg,-6.52976570514045
272.5GHz,-180,10deg,-8.61839628029479
272.5GHz,-180,11deg,-11.2620656236816
272.5GHz,-180,12deg,-14.7021667948588
272.5GHz,-180,13deg,-19.1892080651778
272.5GHz,-180,14deg,-22.7653931424542
272.5GHz,-180,15deg,-19.9441619474015
272.5GHz,-180,16deg,-16.2014501849362
272.5GHz,-180,17deg,-13.6491803729441
272.5GHz,-180,18deg,-12.1017430893709
272.5GHz,-180,19deg,-11.3736640475794
272.5GHz,-180,20deg,-11.3440589954061
272.5GHz,-180,21deg,-11.9300909934001
272.5GHz,-180,22deg,-13.0951349055126
272.5GHz,-180,23deg,-14.8626777332652
272.5GHz,-180,24deg,-17.198714258422
272.5GHz,-180,25deg,-19.2511478916853
272.5GHz,-180,26deg,-18.8156241516063
272.5GHz,-180,27deg,-16.6297445826143
272.5GHz,-180,28deg,-14.7420766424091
272.5GHz,-180,29deg,-13.5330963386626
272.5GHz,-180,30deg,-12.7519945139098
272.5GHz,-180,31deg,-11.9959148208892
272.5GHz,-180,32deg,-10.9696589998577
272.5GHz,-180,33deg,-9.70076412526307
272.5GHz,-180,34deg,-8.41923266588832
272.5GHz,-180,35deg,-7.31473323465426
272.5GHz,-180,36deg,-6.47114644249792
272.5GHz,-180,37deg,-5.90713513046854
272.5GHz,-180,38deg,-5.61847920212726
272.5GHz,-180,39deg,-5.60107648930379
272.5GHz,-180,40deg,-5.86025616887427
272.5GHz,-180,41deg,-6.41189579912413
272.5GHz,-180,42deg,-7.27687300711758
272.5GHz,-180,43deg,-8.46491873786307
272.5GHz,-180,44deg,-9.93274968470201
272.5GHz,-180,45deg,-11.4870411556186
272.5GHz,-180,46deg,-12.6682479701148
272.5GHz,-180,47deg,-12.9727846804859
272.5GHz,-180,48deg,-12.4923645612259
272.5GHz,-180,49deg,-11.7861449705656
272.5GHz,-180,50deg,-11.265998633503
272.5GHz,-180,51deg,-11.1027524542277
272.5GHz,-180,52deg,-11.3488394515639
272.5GHz,-180,53deg,-12.0016617383563
272.5GHz,-180,54deg,-12.9905278213177
272.5GHz,-180,55deg,-14.0926496521483
272.5GHz,-180,56deg,-14.8535489587834
272.5GHz,-180,57deg,-14.8506844157955
272.5GHz,-180,58deg,-14.2269091716642
272.5GHz,-180,59deg,-13.4923573607814
272.5GHz,-180,60deg,-13.0088950225138
272.5GHz,-180,61deg,-12.9279155151858
272.5GHz,-180,62deg,-13.3013467733941
272.5GHz,-180,63deg,-14.152980260534
272.5GHz,-180,64deg,-15.5072529987009
272.5GHz,-180,65deg,-17.3886740267463
272.5GHz,-180,66deg,-19.752020326106
272.5GHz,-180,67deg,-22.1467918484273
272.5GHz,-180,68deg,-23.1367135408948
272.5GHz,-180,69deg,-21.9723385704335
272.5GHz,-180,70deg,-20.082163159337
272.5GHz,-180,71deg,-18.3978348807606
272.5GHz,-180,72deg,-17.0725326042071
272.5GHz,-180,73deg,-16.0629168076036
272.5GHz,-180,74deg,-15.3085192133759
272.5GHz,-180,75deg,-14.7623366027822
272.5GHz,-180,76deg,-14.3908800257955
272.5GHz,-180,77deg,-14.1697338743556
272.5GHz,-180,78deg,-14.0797053978805
272.5GHz,-180,79deg,-14.1042629316395
272.5GHz,-180,80deg,-14.2280602635577
272.5GHz,-180,81deg,-14.4362259131143
272.5GHz,-180,82deg,-14.7141540984368
272.5GHz,-180,83deg,-15.0476109504102
272.5GHz,-180,84deg,-15.4230234042916
272.5GHz,-180,85deg,-15.8278462925085
272.5GHz,-180,86deg,-16.2509172482899
272.5GHz,-180,87deg,-16.6827241416651
272.5GHz,-180,88deg,-17.1155362976031
272.5GHz,-180,89deg,-17.5433892837033
272.5GHz,-180,90deg,-17.9619542827417
272.5GHz,-180,91deg,-18.3683533817838
272.5GHz,-180,92deg,-18.7609916000565
272.5GHz,-180,93deg,-19.139463878599
272.5GHz,-180,94deg,-19.5045672034883
272.5GHz,-180,95deg,-19.8584144053391
272.5GHz,-180,96deg,-20.2046153642445
272.5GHz,-180,97deg,-20.5484679561513
272.5GHz,-180,98deg,-20.8970859048411
272.5GHz,-180,99deg,-21.2593814784117
272.5GHz,-180,100deg,-21.6458124969718
272.5GHz,-180,101deg,-22.0677868404893
272.5GHz,-180,102deg,-22.5365822947927
272.5GHz,-180,103deg,-23.0615771767505
272.5GHz,-180,104deg,-23.6475141344156
272.5GHz,-180,105deg,-24.2905335574687
272.5GHz,-180,106deg,-24.9731103026133
272.5GHz,-180,107deg,-25.6594031214609
272.5GHz,-180,108deg,-26.2953109625913
272.5GHz,-180,109deg,-26.8197798053741
272.5GHz,-180,110deg,-27.1889034984841
272.5GHz,-180,111deg,-27.3988016308734
272.5GHz,-180,112deg,-27.485191210068
272.5GHz,-180,113deg,-27.4972451016688
272.5GHz,-180,114deg,-27.4680134490879
272.5GHz,-180,115deg,-27.4026138608875
272.5GHz,-180,116deg,-27.2895390489856
272.5GHz,-180,117deg,-27.1264183968297
272.5GHz,-180,118deg,-26.9406559253106
272.5GHz,-180,119deg,-26.7869457408117
272.5GHz,-180,120deg,-26.7228642804659
272.5GHz,-180,121deg,-26.7782896608558
272.5GHz,-180,122deg,-26.9305620197692
