Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-0.271690100670246
272.5GHz,-180,1deg,-0.26037405581404
272.5GHz,-180,2deg,-0.15137521826943
272.5GHz,-180,3deg,0.0373801833573687
272.5GHz,-180,4deg,0.212907378391416
272.5GHz,-180,5deg,0.254620270826509
272.5GHz,-180,6deg,0.0625008924753868
272.5GHz,-180,7deg,-0.417910705508014
272.5GHz,-180,8deg,-1.18534065694067
272.5GHz,-180,9deg,-2.1758854530222
272.5GHz,-180,10deg,-3.26318996354769
272.5GHz,-180,11deg,-4.29157379191501
272.5GHz,-180,12deg,-5.16529623822935
272.5GHz,-180,13deg,-5.94172958984192
272.5GHz,-180,14deg,-6.82733701522775
272.5GHz,-180,15deg,-8.09689736898349
272.5GHz,-180,16deg,-10.0481495561688
272.5GHz,-180,17deg,-13.0329305191377
272.5GHz,-180,18deg,-17.4297355061334
272.5GHz,-180,19deg,-21.5260261600157
272.5GHz,-180,20deg,-19.5329460536309
272.5GHz,-180,21deg,-16.7559465302238
272.5GHz,-180,22deg,-15.2798533135974
272.5GHz,-180,23deg,-14.709028586139
272.5GHz,-180,24deg,-14.6653376451894
272.5GHz,-180,25deg,-14.8400080363837
272.5GHz,-180,26deg,-14.988873857488
272.5GHz,-180,27deg,-15.027760149494
272.5GHz,-180,28deg,-15.0116112487067
272.5GHz,-180,29deg,-14.8600776313508
272.5GHz,-180,30deg,-14.1709098129516
272.5GHz,-180,31deg,-12.6897385173162
272.5GHz,-180,32deg,-10.8267982669767
272.5GHz,-180,33deg,-9.14245940484892
272.5GHz,-180,34deg,-7.91938907275535
272.5GHz,-180,35deg,-7.23968736039699
272.5GHz,-180,36deg,-7.10315411499212
272.5GHz,-180,37deg,-7.45900960523495
272.5GHz,-180,38deg,-8.15853665544623
272.5GHz,-180,39deg,-8.84511050617744
272.5GHz,-180,40deg,-8.98504557498718
272.5GHz,-180,41deg,-8.37526615680073
272.5GHz,-180,42deg,-7.41324268192789
272.5GHz,-180,43deg,-6.5592223432878
272.5GHz,-180,44deg,-6.02595819330256
272.5GHz,-180,45deg,-5.85351651553208
