Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.85278373277857
272.5GHz,-180,1deg,3.4715773239718
272.5GHz,-180,2deg,2.75844684005096
272.5GHz,-180,3deg,1.71277700275442
272.5GHz,-180,4deg,0.300208838232138
272.5GHz,-180,5deg,-1.56702516429234
272.5GHz,-180,6deg,-4.06192167983434
272.5GHz,-180,7deg,-7.4932743446242
272.5GHz,-180,8deg,-12.1528251173571
272.5GHz,-180,9deg,-15.1407327936577
272.5GHz,-180,10deg,-12.343200143634
272.5GHz,-180,11deg,-9.8443232982755
272.5GHz,-180,12deg,-8.80832246637916
272.5GHz,-180,13deg,-8.91387054050047
272.5GHz,-180,14deg,-9.82159463554885
272.5GHz,-180,15deg,-11.0384128260659
272.5GHz,-180,16deg,-11.8991468674436
272.5GHz,-180,17deg,-12.1302818671045
272.5GHz,-180,18deg,-12.0788393046964
272.5GHz,-180,19deg,-12.0374188558849
272.5GHz,-180,20deg,-11.9914231714628
272.5GHz,-180,21deg,-11.8851002291832
272.5GHz,-180,22deg,-11.8367154695406
272.5GHz,-180,23deg,-12.0936475421258
272.5GHz,-180,24deg,-12.92581930574
272.5GHz,-180,25deg,-14.6286635882874
272.5GHz,-180,26deg,-17.5894201901614
272.5GHz,-180,27deg,-21.9236595713162
272.5GHz,-180,28deg,-23.4718774599019
272.5GHz,-180,29deg,-20.7458485865359
272.5GHz,-180,30deg,-19.4382240134062
272.5GHz,-180,31deg,-20.0373798564047
272.5GHz,-180,32deg,-20.495645887628
272.5GHz,-180,33deg,-17.1717235568054
272.5GHz,-180,34deg,-13.1362362176176
272.5GHz,-180,35deg,-10.2567484519702
272.5GHz,-180,36deg,-8.46489307650686
272.5GHz,-180,37deg,-7.55267714702678
272.5GHz,-180,38deg,-7.37188650605784
272.5GHz,-180,39deg,-7.80119818225598
272.5GHz,-180,40deg,-8.66563161972532
272.5GHz,-180,41deg,-9.59975327489574
272.5GHz,-180,42deg,-10.0173186489159
272.5GHz,-180,43deg,-9.61924785670517
272.5GHz,-180,44deg,-8.80353007291965
272.5GHz,-180,45deg,-8.09965047191188
272.5GHz,-180,46deg,-7.76591587901781
272.5GHz,-180,47deg,-7.85404607428948
272.5GHz,-180,48deg,-8.30047375092398
272.5GHz,-180,49deg,-8.94748115658682
272.5GHz,-180,50deg,-9.56002312520946
272.5GHz,-180,51deg,-9.93364648412279
272.5GHz,-180,52deg,-10.0609780238705
272.5GHz,-180,53deg,-10.1338870536895
272.5GHz,-180,54deg,-10.3797950941079
272.5GHz,-180,55deg,-10.9575477770591
272.5GHz,-180,56deg,-11.953619639934
272.5GHz,-180,57deg,-13.3958636244575
272.5GHz,-180,58deg,-15.2218230988797
272.5GHz,-180,59deg,-17.1501638123585
272.5GHz,-180,60deg,-18.5501656456121
272.5GHz,-180,61deg,-18.9220010488176
272.5GHz,-180,62deg,-18.6464032259065
272.5GHz,-180,63deg,-18.3846451400346
272.5GHz,-180,64deg,-18.4291224147887
