Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-3.73074629825834
272.5GHz,-180,1deg,-4.07643694549252
272.5GHz,-180,2deg,-4.59382307092699
272.5GHz,-180,3deg,-4.84281778934846
272.5GHz,-180,4deg,-4.4254643794188
272.5GHz,-180,5deg,-3.48889684828158
272.5GHz,-180,6deg,-2.4962354377686
272.5GHz,-180,7deg,-1.75070165777695
272.5GHz,-180,8deg,-1.34898120638621
272.5GHz,-180,9deg,-1.28269037467025
272.5GHz,-180,10deg,-1.50243362050343
272.5GHz,-180,11deg,-1.95109039062379
272.5GHz,-180,12deg,-2.58746613651642
272.5GHz,-180,13deg,-3.39488429023699
272.5GHz,-180,14deg,-4.35456318064493
272.5GHz,-180,15deg,-5.38129732436357
272.5GHz,-180,16deg,-6.27520284492142
272.5GHz,-180,17deg,-6.81786620163937
272.5GHz,-180,18deg,-7.0060292501999
272.5GHz,-180,19deg,-7.07134961191444
272.5GHz,-180,20deg,-7.23961519218454
272.5GHz,-180,21deg,-7.58721243490631
272.5GHz,-180,22deg,-8.05946689047164
272.5GHz,-180,23deg,-8.54943422295532
272.5GHz,-180,24deg,-8.98627928034704
272.5GHz,-180,25deg,-9.38660707570702
272.5GHz,-180,26deg,-9.84103084377855
272.5GHz,-180,27deg,-10.4678212902856
272.5GHz,-180,28deg,-11.3617412976778
272.5GHz,-180,29deg,-12.5068530806406
272.5GHz,-180,30deg,-13.6029545741134
272.5GHz,-180,31deg,-14.0243023291933
272.5GHz,-180,32deg,-13.5344482064709
272.5GHz,-180,33deg,-12.7243327323018
272.5GHz,-180,34deg,-12.1708845358306
272.5GHz,-180,35deg,-12.0302153764111
272.5GHz,-180,36deg,-12.1413418493696
272.5GHz,-180,37deg,-12.1492005443795
272.5GHz,-180,38deg,-11.7559222900081
272.5GHz,-180,39deg,-11.0023515850929
272.5GHz,-180,40deg,-10.1525335094014
272.5GHz,-180,41deg,-9.41494381566906
272.5GHz,-180,42deg,-8.87826352899081
272.5GHz,-180,43deg,-8.56087933589567
272.5GHz,-180,44deg,-8.44090047796547
272.5GHz,-180,45deg,-8.45163613033886
272.5GHz,-180,46deg,-8.47767744013945
272.5GHz,-180,47deg,-8.39932751941963
272.5GHz,-180,48deg,-8.18576197494634
272.5GHz,-180,49deg,-7.93873040027588
272.5GHz,-180,50deg,-7.82698756846935
272.5GHz,-180,51deg,-7.99939267341379
272.5GHz,-180,52deg,-8.55098961486522
272.5GHz,-180,53deg,-9.5227497109272
272.5GHz,-180,54deg,-10.8930802555188
272.5GHz,-180,55deg,-12.5302577390772
272.5GHz,-180,56deg,-14.1089887868713
272.5GHz,-180,57deg,-15.1592502090058
272.5GHz,-180,58deg,-15.4768209773404
272.5GHz,-180,59deg,-15.3328515940919
272.5GHz,-180,60deg,-15.0498329395363
272.5GHz,-180,61deg,-14.7258211049749
272.5GHz,-180,62deg,-14.3069268538359
272.5GHz,-180,63deg,-13.7298914125169
272.5GHz,-180,64deg,-13.0032903982088
272.5GHz,-180,65deg,-12.1969943308113
272.5GHz,-180,66deg,-11.3898104501445
272.5GHz,-180,67deg,-10.6373585200849
272.5GHz,-180,68deg,-9.96968114619182
272.5GHz,-180,69deg,-9.40061620057775
272.5GHz,-180,70deg,-8.93634506554876
272.5GHz,-180,71deg,-8.57994260988634
272.5GHz,-180,72deg,-8.33286620322188
272.5GHz,-180,73deg,-8.19497675707519
272.5GHz,-180,74deg,-8.16418346281698
272.5GHz,-180,75deg,-8.2362026681486
272.5GHz,-180,76deg,-8.40453970268001
272.5GHz,-180,77deg,-8.66064280066224
272.5GHz,-180,78deg,-8.9941512300612
272.5GHz,-180,79deg,-9.39318591206195
272.5GHz,-180,80deg,-9.8446657395465
272.5GHz,-180,81deg,-10.3346586186874
272.5GHz,-180,82deg,-10.848788043733
272.5GHz,-180,83deg,-11.372713125077
272.5GHz,-180,84deg,-11.8926832353882
272.5GHz,-180,85deg,-12.3961411020039
272.5GHz,-180,86deg,-12.872318163953
