Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.49535394281864
272.5GHz,-180,1deg,2.18686046556553
272.5GHz,-180,2deg,1.44673636018809
272.5GHz,-180,3deg,0.273653272268325
272.5GHz,-180,4deg,-1.36102155788023
272.5GHz,-180,5deg,-3.52553870743824
272.5GHz,-180,6deg,-6.30845841584675
272.5GHz,-180,7deg,-9.51479525583335
272.5GHz,-180,8deg,-11.2782246781804
272.5GHz,-180,9deg,-9.74974480698685
272.5GHz,-180,10deg,-7.5370459124169
272.5GHz,-180,11deg,-6.09782128174653
272.5GHz,-180,12deg,-5.58665600168549
272.5GHz,-180,13deg,-5.99871006684411
272.5GHz,-180,14deg,-7.37667054161688
272.5GHz,-180,15deg,-9.84228428143768
272.5GHz,-180,16deg,-13.5560477160053
272.5GHz,-180,17deg,-17.9070051520027
272.5GHz,-180,18deg,-18.8587105344478
272.5GHz,-180,19deg,-16.9936028664844
272.5GHz,-180,20deg,-15.8415142822927
272.5GHz,-180,21deg,-15.6676007317
272.5GHz,-180,22deg,-16.2347284390291
272.5GHz,-180,23deg,-17.3610661509253
272.5GHz,-180,24deg,-18.7926930652914
272.5GHz,-180,25deg,-19.6894356849897
272.5GHz,-180,26deg,-18.5920982446247
272.5GHz,-180,27deg,-15.9242147084922
272.5GHz,-180,28deg,-13.2468166008452
272.5GHz,-180,29deg,-11.1825155419892
272.5GHz,-180,30deg,-9.83004665660781
272.5GHz,-180,31deg,-9.15120591403014
272.5GHz,-180,32deg,-9.05734370619241
272.5GHz,-180,33deg,-9.40978061317773
272.5GHz,-180,34deg,-10.0167188103103
272.5GHz,-180,35deg,-10.6875747379139
272.5GHz,-180,36deg,-11.3540346952931
272.5GHz,-180,37deg,-12.1282847983685
272.5GHz,-180,38deg,-13.2059704597447
272.5GHz,-180,39deg,-14.688748178159
272.5GHz,-180,40deg,-16.210872304393
272.5GHz,-180,41deg,-16.3319339866947
272.5GHz,-180,42deg,-14.3262188082978
272.5GHz,-180,43deg,-11.7462094579666
272.5GHz,-180,44deg,-9.57465976164004
272.5GHz,-180,45deg,-7.98625480215998
272.5GHz,-180,46deg,-6.95251150283581
272.5GHz,-180,47deg,-6.41770286293533
272.5GHz,-180,48deg,-6.32773971239244
272.5GHz,-180,49deg,-6.62981223424236
272.5GHz,-180,50deg,-7.26596488140097
272.5GHz,-180,51deg,-8.16320022756141
272.5GHz,-180,52deg,-9.22002712603108
272.5GHz,-180,53deg,-10.296780734533
272.5GHz,-180,54deg,-11.2358605861335
272.5GHz,-180,55deg,-11.9382888251811
272.5GHz,-180,56deg,-12.4474070015055
272.5GHz,-180,57deg,-12.9355891934685
272.5GHz,-180,58deg,-13.6123824802214
272.5GHz,-180,59deg,-14.6607871745709
272.5GHz,-180,60deg,-16.2204303424496
272.5GHz,-180,61deg,-18.3302708492706
272.5GHz,-180,62deg,-20.5630658115667
272.5GHz,-180,63deg,-21.2949720115221
272.5GHz,-180,64deg,-19.7624629544694
272.5GHz,-180,65deg,-17.6683841551558
272.5GHz,-180,66deg,-15.9274885519985
272.5GHz,-180,67deg,-14.6080809803886
272.5GHz,-180,68deg,-13.5967403866847
272.5GHz,-180,69deg,-12.7762556451657
272.5GHz,-180,70deg,-12.0624565076312
272.5GHz,-180,71deg,-11.4114286387456
272.5GHz,-180,72deg,-10.8136073377181
272.5GHz,-180,73deg,-10.2799116797855
272.5GHz,-180,74deg,-9.82741593668811
272.5GHz,-180,75deg,-9.4700018429581
272.5GHz,-180,76deg,-9.21466127264642
272.5GHz,-180,77deg,-9.06142140525879
272.5GHz,-180,78deg,-9.004778470165
272.5GHz,-180,79deg,-9.03540530317856
272.5GHz,-180,80deg,-9.14164946004279
272.5GHz,-180,81deg,-9.31073082337584
272.5GHz,-180,82deg,-9.52968643190474
272.5GHz,-180,83deg,-9.78612472315293
272.5GHz,-180,84deg,-10.0688207493577
272.5GHz,-180,85deg,-10.3681487889139
272.5GHz,-180,86deg,-10.6763291705946
272.5GHz,-180,87deg,-10.9874697794091
272.5GHz,-180,88deg,-11.2974069824359
272.5GHz,-180,89deg,-11.6033847791245
272.5GHz,-180,90deg,-11.9036412492113
272.5GHz,-180,91deg,-12.1969880686966
272.5GHz,-180,92deg,-12.4824695024888
272.5GHz,-180,93deg,-12.7591749150937
272.5GHz,-180,94deg,-13.0262571459074
272.5GHz,-180,95deg,-13.2831785025103
272.5GHz,-180,96deg,-13.5301642379304
272.5GHz,-180,97deg,-13.7687900333472
272.5GHz,-180,98deg,-14.0025736937485
272.5GHz,-180,99deg,-14.2374006369592
272.5GHz,-180,100deg,-14.4816079334314
