Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.43280370191854
272.5GHz,-180,1deg,4.09961250090783
272.5GHz,-180,2deg,3.38825216276532
272.5GHz,-180,3deg,2.30255321660256
272.5GHz,-180,4deg,0.821099796276198
272.5GHz,-180,5deg,-1.1279201904284
272.5GHz,-180,6deg,-3.71559356906286
272.5GHz,-180,7deg,-7.3270061083856
272.5GHz,-180,8deg,-12.8496827082435
272.5GHz,-180,9deg,-19.1500761785246
272.5GHz,-180,10deg,-14.3180364512223
272.5GHz,-180,11deg,-10.6895927388081
272.5GHz,-180,12deg,-9.31030672556101
272.5GHz,-180,13deg,-9.50325123529293
272.5GHz,-180,14deg,-11.0854153667046
272.5GHz,-180,15deg,-13.8146209941473
272.5GHz,-180,16deg,-15.4857150497106
272.5GHz,-180,17deg,-13.434270632773
272.5GHz,-180,18deg,-10.8659419405039
272.5GHz,-180,19deg,-9.18543526584509
272.5GHz,-180,20deg,-8.26938108130475
272.5GHz,-180,21deg,-7.88430211065204
272.5GHz,-180,22deg,-7.87320252107617
272.5GHz,-180,23deg,-8.17463191573309
272.5GHz,-180,24deg,-8.8198365964355
272.5GHz,-180,25deg,-9.91002903343032
272.5GHz,-180,26deg,-11.5642843964131
272.5GHz,-180,27deg,-13.7624207563252
272.5GHz,-180,28deg,-15.8166638879153
272.5GHz,-180,29deg,-16.1757260293317
272.5GHz,-180,30deg,-15.1020748531661
272.5GHz,-180,31deg,-14.1749247114717
272.5GHz,-180,32deg,-13.9538579935951
272.5GHz,-180,33deg,-14.3953444038157
272.5GHz,-180,34deg,-15.2209329372864
272.5GHz,-180,35deg,-15.995733077656
272.5GHz,-180,36deg,-16.3812104305907
272.5GHz,-180,37deg,-16.4989088048831
272.5GHz,-180,38deg,-16.805873973693
272.5GHz,-180,39deg,-17.7468264279748
272.5GHz,-180,40deg,-19.5741151448984
272.5GHz,-180,41deg,-21.3781711430253
272.5GHz,-180,42deg,-19.736370892992
272.5GHz,-180,43deg,-16.1474662136574
272.5GHz,-180,44deg,-13.3048601814441
272.5GHz,-180,45deg,-11.4565918001364
272.5GHz,-180,46deg,-10.4394161765343
272.5GHz,-180,47deg,-10.1018916524939
272.5GHz,-180,48deg,-10.3114570024127
272.5GHz,-180,49deg,-10.9184670197674
272.5GHz,-180,50deg,-11.7223738271808
272.5GHz,-180,51deg,-12.4781838683518
272.5GHz,-180,52deg,-12.9896305854227
272.5GHz,-180,53deg,-13.2222744574165
272.5GHz,-180,54deg,-13.2756422222901
272.5GHz,-180,55deg,-13.2555570903104
272.5GHz,-180,56deg,-13.2118135874441
272.5GHz,-180,57deg,-13.1589491571737
272.5GHz,-180,58deg,-13.1136765216451
272.5GHz,-180,59deg,-13.1102425154678
272.5GHz,-180,60deg,-13.1951103862281
272.5GHz,-180,61deg,-13.4185669762074
272.5GHz,-180,62deg,-13.8342284248758
272.5GHz,-180,63deg,-14.5066727132449
272.5GHz,-180,64deg,-15.524656538114
272.5GHz,-180,65deg,-17.0210073269634
272.5GHz,-180,66deg,-19.2009201045231
