Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,5.57164406534964
272.5GHz,-180,1deg,5.4693833081193
272.5GHz,-180,2deg,5.05803160122476
272.5GHz,-180,3deg,4.34756642195153
272.5GHz,-180,4deg,3.34955718101957
272.5GHz,-180,5deg,2.06908231601564
272.5GHz,-180,6deg,0.491111010250793
272.5GHz,-180,7deg,-1.43979446975414
272.5GHz,-180,8deg,-3.84772667723304
272.5GHz,-180,9deg,-6.96345331009045
272.5GHz,-180,10deg,-11.1232828884271
272.5GHz,-180,11deg,-15.7844417706887
272.5GHz,-180,12deg,-15.7562528803515
272.5GHz,-180,13deg,-12.9820863952159
272.5GHz,-180,14deg,-11.3579806942527
272.5GHz,-180,15deg,-10.9074166420354
272.5GHz,-180,16deg,-11.3705346534118
272.5GHz,-180,17deg,-12.5851054687562
272.5GHz,-180,18deg,-14.4612515155068
272.5GHz,-180,19deg,-16.9299468238517
272.5GHz,-180,20deg,-19.6738276355923
272.5GHz,-180,21deg,-21.2056889512865
272.5GHz,-180,22deg,-20.0156657364624
272.5GHz,-180,23deg,-17.8391209276038
272.5GHz,-180,24deg,-16.0857751325065
272.5GHz,-180,25deg,-15.0246249234608
272.5GHz,-180,26deg,-14.6823752961454
272.5GHz,-180,27deg,-15.0921896762612
272.5GHz,-180,28deg,-16.3256879589362
272.5GHz,-180,29deg,-18.4390807551355
272.5GHz,-180,30deg,-21.088263689444
272.5GHz,-180,31deg,-22.4285361666451
272.5GHz,-180,32deg,-21.348234987268
272.5GHz,-180,33deg,-20.0535568785347
272.5GHz,-180,34deg,-19.6696473105706
272.5GHz,-180,35deg,-20.2566976710932
272.5GHz,-180,36deg,-21.4246500606953
272.5GHz,-180,37deg,-22.0013716488952
272.5GHz,-180,38deg,-20.9229051569936
272.5GHz,-180,39deg,-19.137910898819
272.5GHz,-180,40deg,-17.7357017872292
272.5GHz,-180,41deg,-17.0398840947826
272.5GHz,-180,42deg,-17.1149158877098
272.5GHz,-180,43deg,-18.0036699365854
272.5GHz,-180,44deg,-19.7238529092471
272.5GHz,-180,45deg,-21.8721989330203
272.5GHz,-180,46deg,-22.515377788224
272.5GHz,-180,47deg,-20.6079184345752
272.5GHz,-180,48deg,-18.3550317103882
272.5GHz,-180,49deg,-16.7928206263204
272.5GHz,-180,50deg,-15.9817961950486
272.5GHz,-180,51deg,-15.8343362540766
272.5GHz,-180,52deg,-16.2769804844822
272.5GHz,-180,53deg,-17.2662941457905
272.5GHz,-180,54deg,-18.7802515130195
272.5GHz,-180,55deg,-20.781656352952
272.5GHz,-180,56deg,-23.0738168770642
272.5GHz,-180,57deg,-24.9270196213208
272.5GHz,-180,58deg,-25.2463875085376
272.5GHz,-180,59deg,-24.3197645581989
272.5GHz,-180,60deg,-23.2952388750323
272.5GHz,-180,61deg,-22.7072969678996
272.5GHz,-180,62deg,-22.6575233952117
272.5GHz,-180,63deg,-23.0836578642442
272.5GHz,-180,64deg,-23.7514248365557
272.5GHz,-180,65deg,-24.1197643032758
272.5GHz,-180,66deg,-23.5522457107668
272.5GHz,-180,67deg,-22.1035778917631
272.5GHz,-180,68deg,-20.3874139573953
272.5GHz,-180,69deg,-18.8198473680538
272.5GHz,-180,70deg,-17.5322719145731
272.5GHz,-180,71deg,-16.5308225467618
272.5GHz,-180,72deg,-15.7842777182368
272.5GHz,-180,73deg,-15.2546084202407
272.5GHz,-180,74deg,-14.9058550436527
272.5GHz,-180,75deg,-14.7060842993799
272.5GHz,-180,76deg,-14.6273323472359
272.5GHz,-180,77deg,-14.645095521358
272.5GHz,-180,78deg,-14.7378581184701
272.5GHz,-180,79deg,-14.886796785317
272.5GHz,-180,80deg,-15.0756721749204
272.5GHz,-180,81deg,-15.2908552830365
272.5GHz,-180,82deg,-15.5213982707903
272.5GHz,-180,83deg,-15.7590469535085
272.5GHz,-180,84deg,-15.9981111552537
272.5GHz,-180,85deg,-16.2351569433759
272.5GHz,-180,86deg,-16.468544401883
272.5GHz,-180,87deg,-16.6978827746074
272.5GHz,-180,88deg,-16.9234951632589
272.5GHz,-180,89deg,-17.1459761099097
272.5GHz,-180,90deg,-17.365898340084
272.5GHz,-180,91deg,-17.5836940049016
272.5GHz,-180,92deg,-17.7997105540889
272.5GHz,-180,93deg,-18.0144241733007
272.5GHz,-180,94deg,-18.2287815107758
272.5GHz,-180,95deg,-18.4446288101666
272.5GHz,-180,96deg,-18.6651742804854
272.5GHz,-180,97deg,-18.8954161049646
272.5GHz,-180,98deg,-19.1424593719217
272.5GHz,-180,99deg,-19.4156441363261
272.5GHz,-180,100deg,-19.7264116857335
272.5GHz,-180,101deg,-20.0878350397466
272.5GHz,-180,102deg,-20.5137109734841
272.5GHz,-180,103deg,-21.0170271878541
272.5GHz,-180,104deg,-21.607459316943
272.5GHz,-180,105deg,-22.2873451118426
272.5GHz,-180,106deg,-23.0455346763624
272.5GHz,-180,107deg,-23.8493478237601
272.5GHz,-180,108deg,-24.6381593079237
272.5GHz,-180,109deg,-25.3287042300999
272.5GHz,-180,110deg,-25.8446775175181
272.5GHz,-180,111deg,-26.1632129889246
272.5GHz,-180,112deg,-26.3375072418591
272.5GHz,-180,113deg,-26.4685138559908
272.5GHz,-180,114deg,-26.654339368543
272.5GHz,-180,115deg,-26.9558925964951
272.5GHz,-180,116deg,-27.3843486089656
272.5GHz,-180,117deg,-27.9012156094745
272.5GHz,-180,118deg,-28.4321103263827
272.5GHz,-180,119deg,-28.9041852789094
272.5GHz,-180,120deg,-29.2975586314744
272.5GHz,-180,121deg,-29.6656639497948
272.5GHz,-180,122deg,-30.0961010472049
272.5GHz,-180,123deg,-30.6428109573038
272.5GHz,-180,124deg,-31.2732916420605
272.5GHz,-180,125deg,-31.8667757651921
272.5GHz,-180,126deg,-32.3170959549939
272.5GHz,-180,127deg,-32.7055022831581
272.5GHz,-180,128deg,-33.3412256782966
272.5GHz,-180,129deg,-34.6356446761624
272.5GHz,-180,130deg,-36.8802707218769
272.5GHz,-180,131deg,-38.8236670413819
272.5GHz,-180,132deg,-36.6495149499283
272.5GHz,-180,133deg,-33.1591511434367
272.5GHz,-180,134deg,-30.8187949716544
272.5GHz,-180,135deg,-29.7487964093736
272.5GHz,-180,136deg,-29.8928117391314
272.5GHz,-180,137deg,-31.3239056297253
272.5GHz,-180,138deg,-34.2133979413519
272.5GHz,-180,139deg,-37.9378945074818
272.5GHz,-180,140deg,-38.2616442152503
272.5GHz,-180,141deg,-36.3380070053298
272.5GHz,-180,142deg,-35.8561326956551
272.5GHz,-180,143deg,-36.8466460046541
272.5GHz,-180,144deg,-37.4608679446324
272.5GHz,-180,145deg,-35.8998692055371
272.5GHz,-180,146deg,-34.2281128392957
272.5GHz,-180,147deg,-33.6642341708293
272.5GHz,-180,148deg,-33.5144514996726
272.5GHz,-180,149deg,-32.0849651752091
272.5GHz,-180,150deg,-29.6752294741254
272.5GHz,-180,151deg,-27.8287846845354
272.5GHz,-180,152deg,-27.1130075461906
272.5GHz,-180,153deg,-27.6328895842054
272.5GHz,-180,154deg,-29.4182775740127
272.5GHz,-180,155deg,-32.340858980113
272.5GHz,-180,156deg,-35.4666160917448
272.5GHz,-180,157deg,-37.2035184087435
272.5GHz,-180,158deg,-37.9262448614543
272.5GHz,-180,159deg,-36.7765768087418
272.5GHz,-180,160deg,-33.4377981721934
272.5GHz,-180,161deg,-30.5512839068503
272.5GHz,-180,162deg,-28.8028994364353
272.5GHz,-180,163deg,-27.8996357341386
272.5GHz,-180,164deg,-27.4575683869353
272.5GHz,-180,165deg,-27.3800887337241
272.5GHz,-180,166deg,-27.9797899299713
272.5GHz,-180,167deg,-29.7025469992532
272.5GHz,-180,168deg,-32.3622215094236
272.5GHz,-180,169deg,-33.0931753895735
272.5GHz,-180,170deg,-31.5130227774113
272.5GHz,-180,171deg,-30.9102926151466
272.5GHz,-180,172deg,-29.9787377293169
272.5GHz,-180,173deg,-25.873801765377
272.5GHz,-180,174deg,-21.6024776926428
272.5GHz,-180,175deg,-18.6275117793218
272.5GHz,-180,176deg,-16.8266269507972
272.5GHz,-180,177deg,-15.9287806399517
272.5GHz,-180,178deg,-15.6689922938813
272.5GHz,-180,179deg,-15.7774194688735
272.5GHz,-180,180deg,-16.0080323558111
272.5GHz,-179,0deg,5.57164406534964
272.5GHz,-179,1deg,5.44563710669532
272.5GHz,-179,2deg,5.0127165162864
272.5GHz,-179,3deg,4.28393706077515
272.5GHz,-179,4deg,3.27177384474734
272.5GHz,-179,5deg,1.9817848131686
272.5GHz,-179,6deg,0.398788927490352
272.5GHz,-179,7deg,-1.53322962529181
272.5GHz,-179,8deg,-3.93838743021824
272.5GHz,-179,9deg,-7.04513714162754
272.5GHz,-179,10deg,-11.1840440711845
272.5GHz,-179,11deg,-15.8330126637678
272.5GHz,-179,12deg,-15.8716946500876
272.5GHz,-179,13deg,-13.0749304257684
272.5GHz,-179,14deg,-11.3740528046924
272.5GHz,-179,15deg,-10.8048391852681
272.5GHz,-179,16deg,-11.0974586113887
272.5GHz,-179,17deg,-12.0806258873261
272.5GHz,-179,18deg,-13.6680275311673
