Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,5.79514763809603
272.5GHz,-180,1deg,5.54482248789383
272.5GHz,-180,2deg,4.96853979507553
272.5GHz,-180,3deg,4.07541547476249
272.5GHz,-180,4deg,2.85970440295075
272.5GHz,-180,5deg,1.28855873169387
272.5GHz,-180,6deg,-0.716945901558604
272.5GHz,-180,7deg,-3.31136661671642
272.5GHz,-180,8deg,-6.76216249281513
272.5GHz,-180,9deg,-11.3238169779259
272.5GHz,-180,10deg,-15.0170829392152
272.5GHz,-180,11deg,-13.4174862249224
272.5GHz,-180,12deg,-11.3271832581427
272.5GHz,-180,13deg,-10.6514548352882
272.5GHz,-180,14deg,-11.2606497315053
272.5GHz,-180,15deg,-13.0064217764484
272.5GHz,-180,16deg,-15.6869028611686
272.5GHz,-180,17deg,-18.3069759258492
272.5GHz,-180,18deg,-18.567095262824
272.5GHz,-180,19deg,-16.9158097098383
272.5GHz,-180,20deg,-15.2978376490908
272.5GHz,-180,21deg,-14.2157380758754
272.5GHz,-180,22deg,-13.6994851987279
272.5GHz,-180,23deg,-13.7582276527157
272.5GHz,-180,24deg,-14.4422188954374
272.5GHz,-180,25deg,-15.8426197966941
272.5GHz,-180,26deg,-17.997687908518
272.5GHz,-180,27deg,-20.2452941711424
272.5GHz,-180,28deg,-20.229018281975
272.5GHz,-180,29deg,-18.1339503596662
272.5GHz,-180,30deg,-16.3688483539085
272.5GHz,-180,31deg,-15.6136175222324
272.5GHz,-180,32deg,-15.907041139858
272.5GHz,-180,33deg,-17.2113506240373
272.5GHz,-180,34deg,-19.3233258149507
272.5GHz,-180,35deg,-21.2757077519302
272.5GHz,-180,36deg,-21.556107846435
272.5GHz,-180,37deg,-20.9670693189892
272.5GHz,-180,38deg,-21.1477225876022
272.5GHz,-180,39deg,-22.8560399197445
272.5GHz,-180,40deg,-26.3164017636482
272.5GHz,-180,41deg,-26.6786639989463
272.5GHz,-180,42deg,-21.8195317248913
272.5GHz,-180,43deg,-18.1830382013917
272.5GHz,-180,44deg,-15.933529694382
